id;fecha_creada;enabled
1;2026-03-27;false
2;2026-03-27;true
3;2026-03-27;false
4;2026-03-27;false
5;2026-03-27;true
6;2026-03-27;false
7;2026-03-27;true
8;2026-03-27;true
9;2026-03-27;true
10;2026-03-28;true
11;2026-03-27;false
12;2026-03-27;false
13;2026-03-27;true
14;2026-03-27;false
15;2026-03-28;false
16;2026-03-27;true
17;2026-03-27;false
18;2026-03-27;false
19;2026-03-27;false
20;2026-03-27;false
21;2026-03-27;false
22;2026-03-27;false
23;2026-03-27;true
24;2026-03-27;true
25;2026-03-27;false
26;2026-03-27;false
27;2026-03-27;false
28;2026-03-27;true
29;2026-03-28;false
30;2026-03-28;false
